Precinct,"No Nomination",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
Totals,-,323,323,"16,818","17,141","52,319"
"Champion Township Precinct 1",-,1,1,96,97,211
"Chocolay Charter Township Precinct 1",-,20,20,812,832,"2,526"
"Chocolay Charter Township Precinct 2",-,14,14,922,936,"2,438"
"City of Ishpeming Precinct 1",-,11,11,637,648,"2,370"
"City of Ishpeming Precinct 2",-,15,15,560,575,"2,767"
"City of Marquette Precinct 1",-,8,8,628,636,"2,137"
"City of Marquette Precinct 2",-,9,9,781,790,"2,148"
"City of Marquette Precinct 3",-,9,9,689,698,"1,637"
"City of Marquette Precinct 4",-,7,7,589,596,"1,865"
"City of Marquette Precinct 5",-,7,7,619,626,"1,972"
"City of Marquette Precinct 6",-,2,2,417,419,"2,113"
"City of Marquette Precinct 7",-,9,9,807,816,"2,366"
"City of Negaunee Precinct 1",-,15,15,614,629,"1,915"
"City of Negaunee Precinct 2",-,13,13,745,758,"1,912"
"Ely Township Precinct 1",-,11,11,556,567,"1,702"
"Ewing Township Precinct 1",-,3,3,44,47,130
"Forsyth Township Precinct 1",-,23,23,881,904,"2,495"
"Forsyth Township Precinct 2",-,16,16,284,300,812
"Forsyth Township Precinct 3",-,10,10,250,260,"1,464"
"Humboldt Township Precinct 1",-,5,5,159,164,389
"Ishpeming Township Precinct 1A",-,7,7,468,475,"1,390"
"Ishpeming Township Precinct 1B",-,0,0,5,5,23
"Ishpeming Township Precinct 2",-,11,11,461,472,"1,458"
"Marquette Charter Township Precinct 1",-,9,9,779,788,"2,449"
"Marquette Charter Township Precinct 2",-,6,6,395,401,"1,162"
"Michigamme Township Precinct 1",-,1,1,156,157,294
"Negaunee Township Precinct 1",-,15,15,"1,043","1,058","2,662"
"Powell Township Precinct 1",-,5,5,202,207,496
"Powell Township Precinct 2",-,4,4,84,88,219
"Republic Township Precinct 1",-,6,6,320,326,917
"Richmond Township Precinct 1",-,10,10,224,234,639
"Sands Township Precinct 1",-,7,7,587,594,"1,909"
"Skandia Township Precinct 1",-,6,6,227,233,692
"Tilden Township Precinct 1",-,11,11,342,353,853
"Turin Township Precinct 1",-,2,2,53,55,96
"Wells Township Precinct 1",-,1,1,48,49,168
"W. Branch Township Precinct 1",-,14,14,334,348,"1,523"
Totals,-,323,323,"16,818","17,141","52,319"

